A Aegean,,
D Ashakiran 16,"D3/ (E3, F#3) G3, A3, B3, C#4, D4, E4, F#4, (G4), A4, B4, (C#5, D5, E5)",16
D Asha custom,,
D Kurd,"D3/ A3, A#3, C4, D4, E4, F4, G4, A4, C5",10
D Kurd 12,"D3 / (F3, G3) A3, A#3, C4, D4, E4, F4, G4, A4, C5",12
D Kurd 16,"Bb2, C3), D3 / (E3, F3, G3), A3, A#3, C4, D4, E4, F4, G4, A4, C5, (D5)",16
D Kurd custom,,
D kurd cyclops,"D3 / A3, A#3, C4, D4, E4, F4, G4, A4, C5, D5",11
D kurd cyclops 13,"D3 / (F3, G3), A3, A#3, C4, D4, E4, F4, G4, A4, C5, D5",13
D Kurd cyclops 14,"D3 / (F3, G3), A3, A#3, C4, D4, E4, F4, G4, A4, C5, D5, (E5)",14
D Kurd cyclops 17,"(Bb2, C3), D3 / (E3, F3, G3) A3, A#3, C4, D4, E4, F4, G4, A4, C5, D5, (E5)",17
D Kurd cyclops 19,"(C3), D3 / (E3, F3, G3) A3, A#3, C4, D4, E4, F4, G4, A4, C5, D5, (E5, F5, G5, A5)",19
D Kurd cyclops custom,,
D Kurd mutant,,
D Kurd mutant 14,,
D Kurd mutant 17,,
D Mali,,
D Harmonic minor,,
D Hijaz,,
D Paradiso,,
E Amara,"E3 / B3, D4, E4, F#4, G4, A4, B4, D5, E5",10
E Amara 13,"E3 / (F#3, G3, A3), B3, D4, E4, F#4, G4, A4, B4, D5, E5",13
E Amara custom,,
E Amara mutant ,"E3 / B3, D4, E4, F#4, G4, A4, B4, D5, E5, F#5, G5, A5",13
E Amara mutant 16,"E3 / (F#3, G3, A3), B3, D4, E4, F#4, G4, A4, B4, D5, E5, F#5, G5, A5",16
E Amara mutant 20 (B bottom),"(B2, D3), E3/ (F#3, G3, A3), B3, (C4), D4, E4, F#4, G4, A4, B4, (C5), D5, E5, F#5, G5, A5",20
E Amara mutant 20 (C bottom),"(C3, D3), E3/ (F#3, G3, A3), B3, (C4), D4, E4, F#4, G4, A4, B4, (C5), D5, E5, F#5, G5, A5",20
E Amara mutant custom,,
E Kurd,,
E Kurd mutant ,"E3 / B3, C4, D4, E4, F#4, G4, A4, B4, C5, D5, E5",12
E Kurd mutant 17,"(C3, D3), E3 / (F#3, G3, A3), B3, C4, D4, E4, F#4, G4, A4, B4, C5, D5, E5",17
E Kurd mutant custom,,
E La Sirena,,
E Hijaz,,
E Minor,,
E Romanian Hijaz,,
E Unibearsum mutant 16,"(C#3, F#3) E3 / G#3, (A3), B3, C#4, D#4, E4, F#4, G#4, A4, B4, C#5, D#5, (E5)",16
F2 Pygmy,,
F Pygmy,"F3 / G3, Ab3, C4, Eb4, F4, G4, Ab4, C5, Eb5, F5, G5",10
F Pygmy mutant ,"F3 / G3, Ab3, C4, Eb4, F4, G4, Ab4, C5, Eb5, F5, G5",12
F Pygmy mutant 16,"(C3, Eb3), F3 / G3, Ab3, (Bb3), C4, (Db4), Eb4, F4, G4, Ab4, C5, Eb5, F5, G5",16
F Pygmy mutant 20,"(Db3, Eb3), F3 / G3, Ab3, (Bb3), C4, (Db4), Eb4, F4, G4, Ab4, C5, (Db5),Eb5, F5, G5, (Ab5, Bb5, C6)",20
F Pygmy mutant custom,,
F Hijazkar,,
F Savitar,,
F Minor mutant,,
F Integral,,
F# La Sirena,,
F# Kurd mutant,"F#3 / C#4, D4, E4, F#4, G#4, A4, B4, C#5, D5, E5, F#5, G5, A5",14
F# Kurd mutant 20,"(C#3, D3, E3) F#3/ (G#3, A3, B3), C#4, D4, E4, F#4, G#4, A4, B4, C#5, D5, E5, F#5, G#5, A5",20
F# Kurd mutant custom,,
F# Pygmy mutant ,"F#3 / G#3, A3, C#4, E4, F#4, G#4, A4, C#5, E5, F#5, G#5",12
F# Pygmy mutant 15,"(D3, E3), F#3 / G#3, A3, (B3), C#4, E4, F#4, G#4, A4, C#5, E5, F#5, G#5",15
F# Pygmy mutant 18,"(D3, E3), F#3 / G#3, A3, (B3), C#4, (D4), E4, F#4, G#4, A4, (B4), C#5, (D5), E5, F#5, G#5",18
F# Pygmy mutant 21,"(D3, E3), F#3 / G#3, A3, (B3), C#4, (D4), E4, F#4, G#4, A4, (B4), C#5, (D5), E5, F#5, G#5, (A5, B5, C#6)",21
F# Pygmy mutant custom,,
